epoch_s,gpu_soc_mw,cpu_cv_mw,sys_5v0_mw,total_mw,vddq_mw
1786581146.923529,5164.6,2382.7,4607.4,12154.7,601.0
1786581147.023514,5164.6,1985.6,4607.4,11757.6,500.0
1786581147.123523,5164.6,1985.6,4507.2,11657.4,500.0
1786581147.223531,5164.6,1985.6,4507.2,11657.4,400.0
1786581147.323519,5164.6,1588.5,4507.2,11260.3,400.0
1786581147.423490,5164.6,1588.5,4507.2,11260.3,400.0
1786581147.523525,5164.6,1588.5,4407.0,11160.2,400.0
1786581147.623521,5164.6,1588.5,4407.0,11160.2,400.0
1786581147.723649,5164.6,1588.5,4407.0,11160.2,400.0
1786581147.823530,5164.6,1588.5,4407.0,11160.2,400.0
1786581147.923512,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.023567,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.123524,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.223523,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.323521,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.423792,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.523529,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.623522,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.723592,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.823523,5164.6,1588.5,4407.0,11160.2,400.0
1786581148.923508,5164.6,1588.5,4407.0,11160.2,400.0
1786581149.023512,5164.6,1588.5,4407.0,11160.2,400.0
1786581149.123521,5164.6,1588.5,4407.0,11160.2,400.0
1786581149.223519,5164.6,1191.4,4407.0,10763.0,400.0
1786581149.323507,5164.6,1191.4,4407.0,10763.0,400.0
1786581149.423492,5164.6,1191.4,4407.0,10763.0,400.0
1786581149.523520,5164.6,1191.4,4407.0,10763.0,400.0
1786581149.623784,5164.6,1587.8,4407.0,11159.5,400.0
1786581149.723744,5164.6,1984.8,4507.2,11656.6,500.0
1786581149.824024,5162.6,1984.8,4607.4,11754.7,600.0
1786581149.923735,5164.6,1984.8,4607.4,11756.8,600.0
1786581150.023506,5164.6,1985.6,4607.4,11757.6,500.0
1786581150.123489,5164.6,1985.6,4507.2,11657.4,500.0
1786581150.223555,5164.6,1588.5,4507.2,11260.3,500.0
1786581150.323464,5164.6,1588.5,4507.2,11260.3,400.0
1786581150.423479,5164.6,1588.5,4507.2,11260.3,400.0
1786581150.523493,5164.6,1588.5,4407.0,11160.2,400.0
1786581150.623691,5164.6,1588.5,4507.2,11260.3,400.0
